file,REF_areaPct,REF_areaCm2,REF_depthCm,REF_contrast,REF_riskScore,REF_speedKmh,REF_label,CUR_widthCm,CUR_depthCm,CUR_speedKmh,CUR_label,CUR_widthScore,CUR_depthScore,CUR_maskAreaFrac,CUR_baseLum,CUR_maskMeanLum
1779199182341.jpg,1.30,65,2.10,0.090,25,60,LOW,50,6,25,MEDIUM,0.401,0.299,0.225,180.6,157.4
1779199182649.jpg,2.80,136,6.10,0.280,44,45,MODERATE,50,9,25,MEDIUM,0.408,0.355,0.277,164.5,127.4
1779199182875.jpg,1.80,86,6.20,0.280,43,45,MODERATE,50,6,25,MEDIUM,0.413,0.334,0.312,169.8,140.8
1779199183226.jpg,9.50,455,5.00,0.230,46,45,MODERATE,50,6,25,MEDIUM,0.377,0.229,0.069,161.0,131.7
1779199183303.jpg,3.10,147,7.20,0.330,49,45,MODERATE,50,9,25,MEDIUM,0.415,0.359,0.326,162.2,125.9
1779199183647.jpg,13.00,626,6.30,0.290,55,30,HIGH,50,6,25,MEDIUM,0.404,0.347,0.251,156.8,117.2
1779199183909.jpg,0.00,0,0.00,0.000,42,45,MODERATE,50,6,25,MEDIUM,0.413,0.323,0.313,172.0,143.1
1779199184183.jpg,0.60,29,5.10,0.230,37,45,MODERATE,50,6,25,MEDIUM,0.398,0.275,0.211,159.3,135.1
1779199184440.jpg,1.80,88,5.90,0.270,42,45,MODERATE,50,6,25,MEDIUM,0.416,0.317,0.333,154.8,121.3
1779199184839.jpg,1.80,86,5.00,0.230,38,45,MODERATE,50,6,25,MEDIUM,0.393,0.314,0.179,172.3,141.6
1779199185210.jpg,6.90,331,4.90,0.220,43,45,MODERATE,50,6,25,MEDIUM,0.404,0.332,0.248,158.6,130.1
IMG20260522222205 1.jpg,6.90,331,11.00,0.500,65,30,HIGH,50,9,25,MEDIUM,0.403,0.447,0.247,120.9,70.2
IMG20260522222211 1.jpg,12.00,574,15.00,0.740,72,30,HIGH,50,13,15,HIGH,0.407,0.535,0.270,113.0,42.4
IMG20260522222247 1.jpg,12.30,591,14.90,0.680,72,30,HIGH,50,9,25,MEDIUM,0.376,0.438,0.059,112.9,58.8
IMG20260523132950.jpg,7.60,363,9.90,0.450,64,30,HIGH,50,9,25,MEDIUM,0.417,0.407,0.341,177.2,123.1
IMG20260523133155.jpg,13.90,665,15.00,0.690,74,30,HIGH,50,13,15,HIGH,0.379,0.532,0.079,150.9,62.0
IMG20260523133328.jpg,18.00,866,13.20,0.600,78,20,CRITICAL,50,13,15,HIGH,0.387,0.564,0.138,152.7,64.2
IMG20260523133921.jpg,1.80,87,4.60,0.210,36,45,MODERATE,50,6,25,MEDIUM,0.411,0.332,0.303,174.2,138.9
IMG20260523134017.jpg,7.10,341,7.60,0.340,54,45,MODERATE,50,9,25,MEDIUM,0.388,0.371,0.144,181.8,135.1
IMG20260523134040.jpg,17.60,846,11.50,0.520,77,20,CRITICAL,50,9,25,MEDIUM,0.379,0.487,0.080,158.3,78.7
IMG20260523134042.jpg,8.60,414,7.30,0.330,54,45,MODERATE,50,6,25,MEDIUM,0.376,0.346,0.063,164.9,108.8
IMG20260523160849.jpg,3.70,179,6.70,0.310,47,45,MODERATE,50,9,25,MEDIUM,0.405,0.358,0.258,160.6,119.4
IMG20260523160852.jpg,12.40,596,13.10,0.590,72,30,HIGH,50,9,25,MEDIUM,0.370,0.388,0.016,150.4,89.8
IMG20260523161015.jpg,0.80,39,9.90,0.450,58,30,HIGH,50,9,25,MEDIUM,0.406,0.363,0.264,187.1,141.3
IMG20260523161121.jpg,1.20,57,10.10,0.460,59,30,HIGH,50,9,25,MEDIUM,0.420,0.415,0.359,188.1,129.7
IMG20260523161317.jpg,7.10,341,11.10,0.510,66,30,HIGH,50,9,25,MEDIUM,0.388,0.372,0.145,165.3,111.2
IMG20260523161403.jpg,6.90,330,7.90,0.360,55,30,HIGH,50,9,25,MEDIUM,0.397,0.355,0.205,170.9,125.4
IMG20260523161552.jpg,9.40,449,14.10,0.640,69,30,HIGH,50,9,25,MEDIUM,0.377,0.432,0.070,155.1,86.2
IMG20260523161702.jpg,16.10,775,15.00,0.710,76,20,CRITICAL,50,13,15,HIGH,0.371,0.587,0.031,139.8,49.3
IMG20260523161720.jpg,0.80,39,5.50,0.250,39,45,MODERATE,50,6,25,MEDIUM,0.411,0.324,0.299,186.2,152.0
IMG20260523162516.jpg,1.20,59,11.00,0.500,60,30,HIGH,50,9,25,MEDIUM,0.407,0.441,0.271,178.7,111.8
IMG20260523162522.jpg,7.00,336,14.70,0.670,67,30,HIGH,50,9,25,MEDIUM,0.378,0.376,0.075,160.9,101.2
IMG20260523163422.jpg,0.70,33,8.60,0.390,52,45,MODERATE,50,9,25,MEDIUM,0.409,0.355,0.289,180.0,136.0
IMG20260523164140.jpg,0.80,41,7.80,0.350,49,45,MODERATE,50,6,25,MEDIUM,0.396,0.308,0.200,182.5,148.6
