file,lane,detected,areaPct,contrast,widthCm,depthCm,riskScore,severity,speedKmh,label
1779199182341.jpg,LEFT,true,1.35,0.094,9,2,25,MINOR,60,LOW
1779199182341.jpg,MIDDLE,false,0.00,0.000,0,0,0,null,0,null
1779199182341.jpg,RIGHT,false,0.00,0.000,0,0,0,null,0,null
1779199182649.jpg,LEFT,true,2.83,0.278,14,6,44,MODERATE,45,MODERATE
1779199182649.jpg,MIDDLE,true,2.83,0.278,14,6,44,MODERATE,45,MODERATE
1779199182649.jpg,RIGHT,true,2.83,0.278,14,6,44,MODERATE,45,MODERATE
1779199182875.jpg,LEFT,true,1.79,0.282,14,6,43,MODERATE,45,MODERATE
1779199182875.jpg,MIDDLE,true,1.79,0.282,14,6,43,MODERATE,45,MODERATE
1779199182875.jpg,RIGHT,true,1.79,0.282,14,6,43,MODERATE,45,MODERATE
1779199183226.jpg,LEFT,true,9.47,0.228,43,5,46,MODERATE,45,MODERATE
1779199183226.jpg,MIDDLE,true,9.47,0.228,43,5,46,MODERATE,45,MODERATE
1779199183226.jpg,RIGHT,true,6.37,0.257,35,6,45,MODERATE,45,MODERATE
1779199183303.jpg,LEFT,true,3.06,0.326,15,7,48,MODERATE,45,MODERATE
1779199183303.jpg,MIDDLE,true,3.06,0.326,15,7,48,MODERATE,45,MODERATE
1779199183303.jpg,RIGHT,true,3.06,0.326,15,7,48,MODERATE,45,MODERATE
1779199183647.jpg,LEFT,true,13.03,0.286,26,6,55,SEVERE,30,HIGH
1779199183647.jpg,MIDDLE,true,13.03,0.286,26,6,55,SEVERE,30,HIGH
1779199183647.jpg,RIGHT,true,13.03,0.286,26,6,55,SEVERE,30,HIGH
1779199183909.jpg,LEFT,false,0.00,0.000,0,0,0,null,0,null
1779199183909.jpg,MIDDLE,false,0.00,0.000,0,0,0,null,0,null
1779199183909.jpg,RIGHT,false,0.00,0.000,0,0,0,null,0,null
1779199184183.jpg,LEFT,true,0.60,0.233,11,5,37,MODERATE,45,MODERATE
1779199184183.jpg,MIDDLE,true,0.60,0.233,11,5,37,MODERATE,45,MODERATE
1779199184183.jpg,RIGHT,false,0.00,0.000,0,0,0,null,0,null
1779199184440.jpg,LEFT,true,1.84,0.269,13,6,42,MODERATE,45,MODERATE
1779199184440.jpg,MIDDLE,true,1.84,0.269,13,6,42,MODERATE,45,MODERATE
1779199184440.jpg,RIGHT,true,1.84,0.269,13,6,42,MODERATE,45,MODERATE
1779199184839.jpg,LEFT,true,1.80,0.228,14,5,38,MODERATE,45,MODERATE
1779199184839.jpg,MIDDLE,true,1.80,0.228,14,5,38,MODERATE,45,MODERATE
1779199184839.jpg,RIGHT,true,0.72,0.197,8,4,34,MINOR,60,LOW
1779199185210.jpg,LEFT,true,6.90,0.222,20,5,43,MODERATE,45,MODERATE
1779199185210.jpg,MIDDLE,true,6.90,0.222,20,5,43,MODERATE,45,MODERATE
1779199185210.jpg,RIGHT,true,6.90,0.222,20,5,43,MODERATE,45,MODERATE
IMG20260522222205 1.jpg,LEFT,true,4.47,0.445,16,10,61,SEVERE,30,HIGH
IMG20260522222205 1.jpg,MIDDLE,true,6.91,0.501,24,11,65,SEVERE,30,HIGH
IMG20260522222205 1.jpg,RIGHT,true,6.91,0.501,24,11,65,SEVERE,30,HIGH
IMG20260522222211 1.jpg,LEFT,true,11.97,0.744,24,16,72,SEVERE,30,HIGH
IMG20260522222211 1.jpg,MIDDLE,true,11.97,0.744,24,16,72,SEVERE,30,HIGH
IMG20260522222211 1.jpg,RIGHT,true,11.97,0.744,24,16,72,SEVERE,30,HIGH
IMG20260522222247 1.jpg,LEFT,true,12.32,0.676,38,15,72,SEVERE,30,HIGH
IMG20260522222247 1.jpg,MIDDLE,true,12.32,0.676,38,15,72,SEVERE,30,HIGH
IMG20260522222247 1.jpg,RIGHT,true,12.32,0.676,38,15,72,SEVERE,30,HIGH
IMG20260523132950.jpg,LEFT,true,7.56,0.448,21,10,64,SEVERE,30,HIGH
IMG20260523132950.jpg,MIDDLE,true,7.56,0.448,21,10,64,SEVERE,30,HIGH
IMG20260523132950.jpg,RIGHT,true,7.56,0.448,21,10,64,SEVERE,30,HIGH
IMG20260523133155.jpg,LEFT,true,13.86,0.692,35,15,74,SEVERE,30,HIGH
IMG20260523133155.jpg,MIDDLE,true,13.86,0.692,35,15,74,SEVERE,30,HIGH
IMG20260523133155.jpg,RIGHT,true,13.86,0.692,35,15,74,SEVERE,30,HIGH
