file,duplicate,roadRatio,asphaltRatio,indoorFloorRatio,woodPanelRatio,verticalStructureRatio,skyBandRatio,highSaturationRatio,circularVesselScore,horizontalRoadLineScore,skinRatio,vegetationRatio,animalFurRatio,foodOrObjectColorRatio,rectFrameLikelihood,flatScreenLikelihood,saturatedNonRoadRatio,passClose,failureReason
1779199182341.jpg,false,0.6478,0.6478,0.2116,0.0023,0.1997,0.9475,0.0000,0.0000,0.4083,0.0000,0.0000,0.0000,0.0000,0.0000,0.4378,0.0000,true,
1779199182649.jpg,false,0.7853,0.7735,0.0372,0.0914,0.2485,0.1373,0.0108,0.0053,0.3702,0.0096,0.0000,0.0021,0.0085,0.1667,0.4035,0.0085,true,
1779199182875.jpg,false,0.9161,0.8530,0.0021,0.0264,0.2409,0.0000,0.0062,0.2002,0.4119,0.1308,0.0000,0.0197,0.0037,0.0000,0.5860,0.0037,true,
1779199183226.jpg,false,0.7417,0.7417,0.1586,0.0538,0.1844,0.3850,0.0000,0.0000,0.3952,0.0000,0.0000,0.0000,0.0000,0.0667,0.3353,0.0000,true,
1779199183303.jpg,false,0.7932,0.7818,0.0208,0.0939,0.2982,0.0000,0.0008,0.0000,0.3857,0.0037,0.0000,0.0025,0.0029,0.0000,0.3760,0.0029,true,
1779199183647.jpg,false,0.7126,0.6902,0.0000,0.1682,0.2903,0.0000,0.0002,0.0968,0.3792,0.0000,0.0000,0.0050,0.0041,0.3833,0.5111,0.0041,true,
1779199183909.jpg,false,0.8071,0.8071,0.0974,0.0291,0.2704,0.8187,0.0000,0.0013,0.4036,0.0000,0.0000,0.0000,0.0000,0.0167,0.3927,0.0000,true,
1779199184183.jpg,false,0.8495,0.8495,0.0883,0.0332,0.2431,0.2191,0.0000,0.0000,0.4006,0.0000,0.0000,0.0000,0.0000,0.0000,0.3771,0.0000,true,
1779199184440.jpg,false,0.7598,0.7456,0.0177,0.1368,0.3005,0.0000,0.0010,0.0318,0.3970,0.0071,0.0000,0.0035,0.0010,0.0333,0.3443,0.0010,true,
1779199184839.jpg,false,0.6779,0.6489,0.1206,0.0231,0.2672,0.0093,0.0021,0.0000,0.4286,0.0041,0.0000,0.0017,0.0017,0.0167,0.3690,0.0017,true,
1779199185210.jpg,false,0.7668,0.7668,0.1341,0.0559,0.2101,0.0432,0.0000,0.0000,0.3869,0.0000,0.0000,0.0000,0.0000,0.0000,0.3477,0.0000,true,
IMG20260522222205 1.jpg,false,0.4554,0.4497,0.0170,0.5039,0.3227,0.0185,0.0017,0.2817,0.3702,0.0000,0.0000,0.0002,0.0033,0.2000,0.2622,0.0033,true,
IMG20260522222205.jpg,true,0.4554,0.4497,0.0170,0.5039,0.3227,0.0185,0.0017,0.2817,0.3702,0.0000,0.0000,0.0002,0.0033,0.2000,0.2622,0.0033,true,
IMG20260522222211 1.jpg,false,0.3702,0.3343,0.0540,0.4269,0.3681,0.0988,0.0006,0.4592,0.3952,0.0307,0.0000,0.0025,0.0021,1.0000,0.0503,0.0021,true,
IMG20260522222211.jpg,true,0.3702,0.3343,0.0540,0.4269,0.3681,0.0988,0.0006,0.4592,0.3952,0.0307,0.0000,0.0025,0.0021,1.0000,0.0503,0.0021,true,
IMG20260522222247 1.jpg,false,0.5592,0.5353,0.0278,0.3312,0.3931,0.0116,0.0027,0.1153,0.3375,0.0041,0.0002,0.0019,0.0104,1.0000,0.1829,0.0104,true,
IMG20260522222247.jpg,true,0.5592,0.5353,0.0278,0.3312,0.3931,0.0116,0.0027,0.1153,0.3375,0.0041,0.0002,0.0019,0.0104,1.0000,0.1829,0.0104,true,
IMG20260523132950.jpg,false,0.5226,0.5176,0.2892,0.0949,0.3127,0.4444,0.0029,0.2688,0.3173,0.0037,0.0029,0.0014,0.0042,0.3167,0.2868,0.0042,true,
IMG20260523133155.jpg,false,0.5905,0.5490,0.1723,0.0980,0.3432,0.2068,0.0044,0.0040,0.3512,0.0017,0.0006,0.0014,0.0334,0.1333,0.1443,0.0334,true,
IMG20260523133328.jpg,false,0.6279,0.5608,0.0525,0.1107,0.2321,0.0224,0.0197,0.0080,0.4405,0.0407,0.0004,0.0320,0.0293,0.5167,0.3318,0.0293,true,
IMG20260523133921.jpg,false,0.7359,0.7353,0.1397,0.0446,0.2894,0.3503,0.0002,0.2678,0.4030,0.0010,0.0002,0.0002,0.0000,0.4333,0.3585,0.0000,true,
